day,date,dt,temp,chau_z,chau_h
1.0,2002-10-29,24.0,-1.7,0.18,0.0
2.0,2002-10-30,24.0,-2.7,0.192,0.0
2.200000000000003,2002-10-31,3.79,0.8,0.18,0.0
2.5,2002-10-31,9.04,0.8,0.0,0.0
3.0,2002-10-31,11.17,0.8,0.0,0.0
3.3999999999999986,2002-11-01,9.17,-4.1,0.18,0.0
4.0,2002-11-01,14.83,-4.1,0.207,0.0
5.0,2002-11-02,24.0,-7.8,0.303,0.0
6.0,2002-11-03,24.0,-4.1,0.318,0.0
7.0,2002-11-04,24.0,-1.6,0.294,0.0
8.0,2002-11-05,24.0,0.0,0.245,0.0
9.0,2002-11-06,24.0,-0.8,0.213,0.0
10.0,2002-11-07,24.0,-7.6,0.307,0.0
11.0,2002-11-08,24.0,2.2,0.219,0.0
11.299999999999997,2002-11-09,8.29,3.0,0.18,0.0
11.5,2002-11-09,4.2,3.0,0.0,0.0
12.0,2002-11-09,11.51,3.0,0.0,0.0
13.0,2002-11-10,24.0,15.5,0.0,0.0
14.0,2002-11-11,24.0,8.8,0.0,0.0
15.0,2002-11-12,24.0,3.9,0.0,0.0
16.0,2002-11-13,24.0,2.0,0.0,0.0
17.0,2002-11-14,24.0,6.8,0.0,0.0
17.4,2002-11-15,8.96,-3.8,0.18,0.0
18.0,2002-11-15,15.04,-3.8,0.21,0.0
19.0,2002-11-16,24.0,-3.6,0.243,0.0
20.0,2002-11-17,24.0,-2.9,0.258,0.0
21.0,2002-11-18,24.0,-3.0,0.273,0.0
22.0,2002-11-19,24.0,0.6,0.222,0.0
22.4,2002-11-20,9.57,2.9,0.18,0.0
22.6,2002-11-20,4.37,2.9,0.0,0.0
23.0,2002-11-20,10.06,2.9,0.0,0.0
24.0,2002-11-21,24.0,5.5,0.0,0.0
25.0,2002-11-22,24.0,4.1,0.0,0.0
26.0,2002-11-23,24.0,-0.7,0.114,0.0
27.0,2002-11-24,24.0,-1.0,0.122,0.0
27.4,2002-11-25,9.54,-2.4,0.18,0.0
28.0,2002-11-25,14.46,-2.4,0.193,0.0
29.0,2002-11-26,24.0,-3.5,0.234,0.0
30.0,2002-11-27,24.0,-8.8,0.347,0.0
31.0,2002-11-28,24.0,-8.1,0.42,0.0
32.0,2002-11-29,24.0,-0.8,0.396,0.0
33.0,2002-11-30,24.0,1.1,0.347,0.0
34.0,2002-12-01,24.0,-10.5,0.448,0.0
34.5,2002-12-02,11.85,-10.7,0.48,0.0
35.0,2002-12-02,12.15,-10.7,0.503,0.0
36.0,2002-12-03,24.0,-13.0,0.559,0.0
37.0,2002-12-04,24.0,-11.4,0.602,0.0
38.0,2002-12-05,24.0,-5.0,0.61,0.0
39.0,2002-12-06,24.0,-2.1,0.603,0.0
40.0,2002-12-07,24.0,-0.3,0.587,0.0
41.0,2002-12-08,24.0,-12.9,0.636,0.0
42.0,2002-12-09,24.0,-8.1,0.659,0.0
43.0,2002-12-10,24.0,-1.4,0.649,0.0
44.0,2002-12-11,24.0,-2.3,0.643,0.0
45.0,2002-12-12,24.0,-0.3,0.629,0.0
46.0,2002-12-13,24.0,1.0,0.607,0.0
47.0,2002-12-14,24.0,2.3,0.579,0.0
48.0,2002-12-15,24.0,-1.1,0.569,0.0
49.0,2002-12-16,24.0,-8.1,0.597,0.0
50.0,2002-12-17,24.0,-12.4,0.644,0.0
51.0,2002-12-18,24.0,-10.9,0.682,0.0
52.0,2002-12-19,24.0,-0.7,0.67,0.0
53.0,2002-12-20,24.0,3.3,0.639,0.0
54.0,2002-12-21,24.0,2.6,0.611,0.0
55.0,2002-12-22,24.0,2.0,0.586,0.0
56.0,2002-12-23,24.0,-0.4,0.573,0.0
57.0,2002-12-24,24.0,-6.4,0.593,0.0
58.0,2002-12-25,24.0,-3.5,0.597,0.0
59.0,2002-12-26,24.0,-5.8,0.613,0.0
60.0,2002-12-27,24.0,-5.1,0.626,0.0
61.0,2002-12-28,24.0,-1.2,0.618,0.0
62.0,2002-12-29,24.0,-8.1,0.645,0.0
63.0,2002-12-30,24.0,-8.9,0.675,0.0
64.0,2002-12-31,24.0,2.0,0.652,0.0
65.0,2003-01-01,24.0,-9.2,0.683,0.0
66.0,2003-01-02,24.0,-9.9,0.716,0.0
67.0,2003-01-03,24.0,-5.4,0.728,0.0
68.0,2003-01-04,24.0,-5.6,0.74,0.0
69.0,2003-01-05,24.0,-4.4,0.747,0.0
70.0,2003-01-06,24.0,-8.0,0.77,0.0
71.0,2003-01-07,24.0,-9.5,0.798,0.0
72.0,2003-01-08,24.0,-11.5,0.833,0.0
73.0,2003-01-09,24.0,-19.0,0.896,0.0
73.1,2003-01-10,2.34,-16.9,0.9,0.0
74.0,2003-01-10,21.66,-16.9,0.927,0.001
75.0,2003-01-11,24.0,-14.3,0.95,0.001
76.0,2003-01-12,24.0,-10.3,0.965,0.001
77.0,2003-01-13,24.0,-10.3,0.979,0.002
78.0,2003-01-14,24.0,-23.0,1.019,0.002
79.0,2003-01-15,24.0,-20.8,1.053,0.003
80.0,2003-01-16,24.0,-16.0,1.077,0.004
81.0,2003-01-17,24.0,-24.7,1.117,0.004
82.0,2003-01-18,24.0,-17.5,1.143,0.005
83.0,2003-01-19,24.0,-10.1,1.154,0.005
84.0,2003-01-20,24.0,-14.4,1.174,0.005
85.0,2003-01-21,24.0,-22.9,1.207,0.006
86.0,2003-01-22,24.0,-21.2,1.237,0.006
87.0,2003-01-23,24.0,-18.2,1.262,0.007
88.0,2003-01-24,24.0,-20.3,1.289,0.007
89.0,2003-01-25,24.0,-6.8,1.294,0.008
90.0,2003-01-26,24.0,-11.9,1.307,0.008
91.0,2003-01-27,24.0,-25.7,1.342,0.008
92.0,2003-01-28,24.0,-16.4,1.362,0.009
93.0,2003-01-29,24.0,-15.7,1.381,0.009
94.0,2003-01-30,24.0,-14.3,1.397,0.009
95.0,2003-01-31,24.0,-4.2,1.397,0.009
96.0,2003-02-01,24.0,0.8,1.39,0.009
97.0,2003-02-02,24.0,0.3,1.384,0.009
98.0,2003-02-03,24.0,-4.5,1.385,0.01
99.0,2003-02-04,24.0,-3.4,1.385,0.01
100.0,2003-02-05,24.0,-15.5,1.403,0.01
101.0,2003-02-06,24.0,-10.8,1.414,0.01
102.0,2003-02-07,24.0,-15.2,1.432,0.01
103.0,2003-02-08,24.0,-5.5,1.434,0.011
104.0,2003-02-09,24.0,-10.3,1.444,0.011
105.0,2003-02-10,24.0,-10.1,1.454,0.011
105.3,2003-02-11,7.46,-22.5,1.461,0.011
106.0,2003-02-11,16.54,-22.5,1.471,0.012
107.0,2003-02-12,24.0,-19.6,1.484,0.014
108.0,2003-02-13,24.0,-26.1,1.502,0.016
109.0,2003-02-14,24.0,-25.5,1.519,0.018
110.0,2003-02-15,24.0,-25.4,1.535,0.02
111.0,2003-02-16,24.0,-26.8,1.553,0.023
112.0,2003-02-17,24.0,-15.0,1.561,0.024
113.0,2003-02-18,24.0,-7.4,1.564,0.024
114.0,2003-02-19,24.0,-0.2,1.562,0.024
115.0,2003-02-20,24.0,-0.5,1.559,0.024
116.0,2003-02-21,24.0,-4.7,1.56,0.024
117.0,2003-02-22,24.0,-5.2,1.561,0.025
118.0,2003-02-23,24.0,-8.5,1.565,0.025
119.0,2003-02-24,24.0,-13.3,1.572,0.026
120.0,2003-02-25,24.0,-23.1,1.587,0.028
121.0,2003-02-26,24.0,-20.8,1.6,0.03
122.0,2003-02-27,24.0,-16.1,1.609,0.031
123.0,2003-02-28,24.0,-12.8,1.616,0.032
124.0,2003-03-01,24.0,-3.5,1.616,0.032
125.0,2003-03-02,24.0,-9.1,1.62,0.033
126.0,2003-03-03,24.0,-22.4,1.634,0.035
127.0,2003-03-04,24.0,-10.5,1.639,0.035
128.0,2003-03-05,24.0,-9.4,1.643,0.036
129.0,2003-03-06,24.0,-19.3,1.654,0.037
130.0,2003-03-07,24.0,-7.2,1.657,0.038
131.0,2003-03-08,24.0,-2.5,1.656,0.038
132.0,2003-03-09,24.0,-15.9,1.665,0.039
133.0,2003-03-10,24.0,-13.8,1.673,0.04
134.0,2003-03-11,24.0,-3.9,1.673,0.04
135.0,2003-03-12,24.0,-7.9,1.677,0.041
136.0,2003-03-13,24.0,-18.2,1.687,0.042
137.0,2003-03-14,24.0,-10.5,1.692,0.043
138.0,2003-03-15,24.0,-4.9,1.693,0.043
139.0,2003-03-16,24.0,1.6,1.69,0.043
140.0,2003-03-17,24.0,0.9,1.687,0.043
141.0,2003-03-18,24.0,-5.0,1.688,0.043
142.0,2003-03-19,24.0,-5.4,1.69,0.043
143.0,2003-03-20,24.0,2.6,1.686,0.043
144.0,2003-03-21,24.0,3.5,1.681,0.043
145.0,2003-03-22,24.0,4.2,1.676,0.042
146.0,2003-03-23,24.0,3.5,1.672,0.042
147.0,2003-03-24,24.0,4.2,1.667,0.042
148.0,2003-03-25,24.0,5.4,1.661,0.041
149.0,2003-03-26,24.0,2.6,1.657,0.041
150.0,2003-03-27,24.0,1.0,1.654,0.041
151.0,2003-03-28,24.0,7.4,1.647,0.04
152.0,2003-03-29,24.0,6.4,1.64,0.039
153.0,2003-03-30,24.0,-3.1,1.64,0.04
154.0,2003-03-31,24.0,-5.8,1.642,0.04
155.0,2003-04-01,24.0,-3.6,1.643,0.04
156.0,2003-04-02,24.0,-1.5,1.642,0.04
157.0,2003-04-03,24.0,-4.9,1.644,0.04
158.0,2003-04-04,24.0,-5.6,1.646,0.041
159.0,2003-04-05,24.0,-3.6,1.647,0.041
160.0,2003-04-06,24.0,-5.0,1.648,0.041
161.0,2003-04-07,24.0,-4.1,1.649,0.042
162.0,2003-04-08,24.0,-0.7,1.648,0.042
163.0,2003-04-09,24.0,1.2,1.645,0.041
164.0,2003-04-10,24.0,4.2,1.64,0.041
165.0,2003-04-11,24.0,5.9,1.634,0.041
166.0,2003-04-12,24.0,4.9,1.629,0.04
167.0,2003-04-13,24.0,0.2,1.627,0.04
168.0,2003-04-14,24.0,8.7,1.619,0.039
169.0,2003-04-15,24.0,6.9,1.612,0.039
170.0,2003-04-16,24.0,-4.9,1.614,0.039
171.0,2003-04-17,24.0,-3.0,1.615,0.039
172.0,2003-04-18,24.0,5.4,1.609,0.039
173.0,2003-04-19,24.0,8.6,1.601,0.038
174.0,2003-04-20,24.0,11.6,1.591,0.037
175.0,2003-04-21,24.0,10.4,1.581,0.036
176.0,2003-04-22,24.0,9.0,1.573,0.035
177.0,2003-04-23,24.0,5.7,1.567,0.034
178.0,2003-04-24,24.0,2.4,1.563,0.034
179.0,2003-04-25,24.0,3.7,1.559,0.034
180.0,2003-04-26,24.0,3.8,1.555,0.033
181.0,2003-04-27,24.0,9.4,1.546,0.033
182.0,2003-04-28,24.0,13.8,1.534,0.031
183.0,2003-04-29,24.0,9.4,1.525,0.03
184.0,2003-04-30,24.0,5.9,1.519,0.03
185.0,2003-05-01,24.0,6.8,1.512,0.029
186.0,2003-05-02,24.0,6.8,1.505,0.029
187.0,2003-05-03,24.0,6.7,1.498,0.028
188.0,2003-05-04,24.0,11.6,1.488,0.027
189.0,2003-05-05,24.0,13.5,1.476,0.026
190.0,2003-05-06,24.0,10.9,1.465,0.025
190.5,2003-05-07,11.96,10.3,1.461,0.024
191.0,2003-05-07,12.04,10.3,1.452,0.024
